cdatetime,address,district,beat,grid,crimedescr,ucr_ncic_code,latitude,longitude
1/1/060:00,3108OCCIDENTALDR,3,3C,1115,10851(A)VCTAKEVEHW/OOWNER,2404,38.55042047,-121.3914158
1/1/060:00,2082EXPEDITIONWAY,5,5A,1512,459PCBURGLARYRESIDENCE,2204,38.47350069,-121.4901858
1/1/060:00,4PALENCT,2,2A,212,10851(A)VCTAKEVEHW/OOWNER,2404,38.65784584,-121.4621009
1/1/060:00,22BECKFORDCT,6,6C,1443,476PCPASSFICTICIOUSCHECK,2501,38.50677377,-121.4269508
1/1/060:00,3421AUBURNBLVD,2,2A,508,459PCBURGLARY-UNSPECIFIED,2299,38.6374478,-121.3846125
1/1/060:00,5301BONNIEMAEWAY,6,6B,1084,530.5PCUSEPERSONALIDINFO,2604,38.52697863,-121.4513383
1/1/060:00,221716THAVE,4,4A,957,459PCBURGLARYVEHICLE,2299,38.537173,-121.4875774
1/1/060:00,3547PST,3,3C,853,484PCPETTYTHEFT/INSIDE,2308,38.56433456,-121.4618826
1/1/060:00,3421AUBURNBLVD,2,2A,508,459PCBURGLARYBUSINESS,2203,38.6374478,-121.3846125
1/1/060:00,1326HELMSMANWAY,1,1B,444,1708USTHEFTOFMAIL,2310,38.60960217,-121.4918375
1/1/060:00,2315STOCKTONBLVD,6,6B,1005,ASSAULTWITHWEAPON-IRPT,7000,38.55426406,-121.4546045
1/1/060:00,511263RDST,6,6B,1088,530.5PCUSEPERSONALIDINFO,2604,38.52816497,-121.4314528
1/1/060:00,6351DRIFTWOODST,4,4C,1261,SUSPPERS-NOCRIME-IRPT,7000,38.51092155,-121.5488201
1/1/060:00,7721COLLEGETOWNDR,3,3C,888,530.5PCUSEPERSONALIDINFO,2604,38.55611545,-121.4142729
1/1/060:00,8460ROVANACIR,6,6C,1447,484G(B)PCACCESSCARDFRAUD,2605,38.50398051,-121.3923987
1/1/060:00,485611THAVE,6,6B,1054,487(A)PCGRANDTHEFT,2303,38.54152896,-121.4495097
1/1/060:00,603369THST,6,6C,1403,TELEPEST-IRPT,7000,38.51657327,-121.4234749
1/1/060:00,547LST,3,3M,742,487(A)GRANDTHEFT-INSIDE,2308,38.58184562,-121.5011657
1/1/060:00,352542NDST,6,6A,1034,530.5PCUSEPERSONALIDINFO,2604,38.54270763,-121.4572067
1/1/060:00,5641DORSETWAY,4,4C,1225,484JPCPUBLISHCARDINFO,2605,38.52459987,-121.5203609
1/1/060:01,5551REXLEIGHCT,5,5C,1661,459PCBURGLARYVEHICLE,2299,38.44659211,-121.4423777
1/1/060:01,1896ARDENWAY,2,2C,628,484G(B)PCACCESSCARDFRAUD,2605,38.59664183,-121.423349
1/1/060:01,6168RIVERSIDEBLVD,4,4C,1251,484PCPETTYTHEFT,2399,38.51512387,-121.5291027
1/1/060:01,415SEXTANTWAY,2,2A,213,459PCBURGLARYVEHICLE,2299,38.65660112,-121.4560449
1/1/060:01,15BASINCT,5,5C,1654,TRAFFIC-IRPT,7000,38.44281523,-121.4095243
1/1/060:01,334062NDST,6,6B,1047,594(B)(1)PCVANDALISM+$400,2999,38.5438039,-121.4332827
1/1/060:01,4280DEERHILLDR,5,5B,1616,484G(B)PCACCESSCARDFRAUD,2605,38.47121906,-121.4547389
1/1/060:01,28145THST,4,4A,923,484PCPETTYTHEFT/OUTSIDE,2309,38.5564521,-121.5123309
